,lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban_settlement_classification_ru_code,rural_urban,rural_urban_settlement_classification_ru_name,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,median_age_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_<_10_µm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_<_2.5_µm,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18_to_20,change_birth_rates_17_to_20,birthrate_categories_2020,mean_fpp_score,Mean FPP Score,fpp_mean_difference,fpp_performance_vsmean,fpp_mean_difference_category
515,W01000541,Llanwenog,Ceredigion 008E,W02000123,Ceredigion 008,W06000008,Ceredigion,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,100,3,6,2,11,"1,797",6.12,2,7,0,9,"1,762",5.11,52.3,2,3,0,5,"1,744",2.87,6,6,2,14,"1,762",7.95,5,16.64,7,11,7,8,8,12.4,20.1,295.2,18.3,547.8,6.1,,9,110,89,127,1.6,36.3,18.1,1,37.6,113,111,128,115,109,130,156,136,12,10,15,11,8,22,19,20,12,1,5.6,42.9,40.7,4.9,7,3.3,8.4,5.5,26.8,17.1,0.415,10,,0.72,0.47,,,,Consistently increasing,Increasing (2018-20),Quintile 2,103.6368421,104,6.363157895,Outperforming,9
1423,W01001462,Georgetown 1,Blaenau Gwent 006A,W02000319,Blaenau Gwent 006,W06000019,Blaenau Gwent,C1,Urban,Large Town (Less Sparse),W37000338,Tredegar BUA,WXX000003,140,2,13,1,16,"1,804",8.87,2,16,3,21,"1,788",11.74,41.2,1,19,2,22,"1,763",12.48,3,12,5,20,"1,696",11.79,5,12.92,5,15,3,13,4,14.6,27.7,465.7,24.1,622.1,3.3,,7,110,88,121,2.1,34.7,22,4,12,27,22,28,36,27,26,27,30,6,3,6,8,6,6,5,6,8,5,6.19,15.6,14.1,2.6,9,6.6,10.4,7.1,4.8,97.9,0.139,3,1.5,2.28,2.31,1.17,0.78,1.57,Consistently decreasing,Decreasing (2018-20),Quintile 3,103.6368421,104,6.363157895,Outperforming,9
47,W01000050,Arllechwedd,Gwynedd 003A,W02000012,Gwynedd 003,W06000002,Gwynedd,E1,Rural,"Village, Hamlet and Isolated Dwellings (Less Sparse)",Small,Dispersed (not in a BUA),WXX000001,114,1,4,3,8,"1,451",5.51,3,6,6,15,"1,490",10.07,44.8,3,13,4,20,"1,396",14.33,4,6,3,13,"1,357",9.58,5,12.6,5,14,5,10,8,12.8,18.2,254,21.9,603.5,4.4,,8,109,91,126,2.7,37.5,13,2,22.4,62,52,61,56,43,58,62,72,12,10,12,10,7,14,13,19,13,2,5.84,34.3,31.6,5.3,5,5.7,7.4,4.9,44,64.1,0.3,4,1.05,2.52,3.58,1.02,0.75,0.99,Consistently decreasing,Decreasing (2018-20),Quintile 1 (lowest),103.6368421,104,5.363157895,Outperforming,9
91,W01000096,Ogwen 1,Gwynedd 003C,W02000012,Gwynedd 003,W06000002,Gwynedd,D1,Rural,Small Town and Fringe (Less Sparse),W38000091,Bethesda BUASD,WXX000001,80,5,6,4,15,"1,358",11.05,4,10,2,16,"1,364",11.73,37.7,2,13,2,17,"1,356",12.54,3,4,2,9,"1,384",6.5,5,33,4,17,5,11,5,15.8,22.4,302.2,24.8,691.8,3.8,,6,109,93,116,4.1,22.5,17.1,4,0,32,21,39,24,20,23,34,25,8,6,8,6,2,9,8,7,18,6,3.6,21,18.6,3.9,7,5,8.1,5.5,33.8,100,0.261,3,1.57,2.91,3.57,,,,Consistently decreasing,Decreasing (2018-20),Quintile 4,103.6368421,104,5.363157895,Outperforming,9
181,W01000189,Uwch Conwy,Conwy 015F,W02000041,Conwy 015,W06000003,Conwy,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000001,87,1,14,4,19,"1,454",13.07,2,5,3,10,"1,430",6.99,50.3,1,6,5,12,"1,415",8.48,3,7,5,15,"1,378",10.89,5,8.68,8,9,8,5,10,11.5,16.5,228.4,15.5,505.6,3.8,,8,109,88,123,2.4,33.5,11.5,1,53.4,154,124,146,115,80,156,163,152,30,16,24,18,7,29,25,29,18,1,6.1,47.6,44.3,6.7,8,3.2,6.6,4.4,30.2,66.7,0.444,9,0.48,1.03,0.69,,,,Other,Other,Quintile 5 (highest),103.6368421,104,5.363157895,Outperforming,9
416,W01000427,Beguildy,Powys 011A,W02000107,Powys 011,W06000023,Powys,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,71,1,6,1,8,"1,426",5.61,0,9,0,9,"1,397",6.44,53.4,1,7,4,12,"1,390",8.63,0,7,2,9,"1,417",6.35,5,11.1,7,11,8,6,8,13.8,17.7,321.1,17.8,517.3,0,,7,109,87,124,2.4,36.9,20.3,1,57.9,150,144,148,133,135,153,165,152,29,17,29,12,16,29,29,36,25,1,4.28,44.2,40.6,5.5,9,2.7,8.7,5.8,17.1,50.9,0.286,9,0.44,0.71,2.15,,,0.49,Consistently decreasing,Decreasing (2018-20),Quintile 1 (lowest),103.6368421,104,5.363157895,Outperforming,9
505,W01000531,Llandyfriog,Ceredigion 010C,W02000125,Ceredigion 010,W06000008,Ceredigion,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,84,3,7,6,16,"1,794",8.92,2,9,4,15,"1,780",8.43,55.3,5,8,4,17,"1,787",9.51,3,10,4,17,"1,793",9.48,5,18,5,16,5,11,7,12.9,21.9,329.7,22.6,505.8,3.9,,6,109,92,120,7.2,23.3,16.1,1,17.2,88,76,92,76,75,84,135,114,10,7,9,5,9,10,11,11,12,6,3.71,19.7,18.2,2.7,9,3.6,9.1,5.7,19,32.2,0.434,8,0.48,1.09,1.56,,,0.36,Other,Other,Quintile 3,103.6368421,104,5.363157895,Outperforming,9
511,W01000537,Llangybi,Ceredigion 008D,W02000123,Ceredigion 008,W06000008,Ceredigion,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,72,1,6,0,7,"1,469",4.77,2,4,3,9,"1,490",6.04,54.6,3,6,2,11,"1,467",7.5,0,8,3,11,"1,457",7.55,5,12.4,5,15,6,8,9,11.1,19.1,295,16.9,431.2,2.9,,7,109,87,122,3.7,30,14.2,1,30.7,129,126,133,131,128,141,149,139,17,13,18,13,10,21,18,18,16,1,5.59,41.8,39.6,4.6,8,3.2,8,5.4,26.9,27.1,0.428,10,,0.99,0.69,,,0.41,Consistently decreasing,Decreasing (2017-20),Quintile 1 (lowest),103.6368421,104,5.363157895,Outperforming,9
513,W01000539,Llansantffraed 1,Ceredigion 005D,W02000120,Ceredigion 005,W06000008,Ceredigion,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,46,0,6,3,9,"1,218",7.39,0,9,2,11,"1,181",9.31,54.3,4,7,5,16,"1,194",13.4,2,6,0,8,"1,188",6.73,5,7.7,7,10,8,6,7,14.6,20.1,314.5,20.1,550.7,4.5,,9,109,86,132,1.2,36.2,15.2,1,35,169,133,170,134,159,173,175,168,22,8,25,8,12,24,24,23,6,1,5.47,58.9,55.7,6.3,7,3.2,8,5.3,16.3,50.1,0.087,10,,0.54,0.74,,,0.46,Consistently decreasing,Decreasing (2018-20),Quintile 2,103.6368421,104,5.363157895,Outperforming,9
696,W01000725,Saron 2,Carmarthenshire 011D,W02000152,Carmarthenshire 011,W06000010,Carmarthenshire,C1,Urban,Large Town (Less Sparse),Small,Dispersed (not in a BUA),WXX000002,109,1,9,0,10,"2,293",4.36,5,8,5,18,"2,316",7.77,50.1,4,12,4,20,"2,301",8.69,2,9,1,12,"2,306",5.2,5,33.5,5,16,4,12,4,14.8,25,487.3,21.9,603.4,5.5,,6,109,88,123,6.9,41.5,20.1,6,18.5,26,22,27,26,25,30,39,35,6,4,6,7,5,10,9,11,5,7,3.04,18.6,17.3,2.4,3,5.5,9.7,6.5,39.5,39.5,0.1,9,0.38,1.16,1.28,,,0.26,Consistently decreasing,Decreasing (2018-20),Quintile 1 (lowest),103.6368421,104,5.363157895,Outperforming,9
577,W01000603,Pembroke Dock: Market,Pembrokeshire 013D,W02000138,Pembrokeshire 013,W06000009,Pembrokeshire,D1,Rural,Small Town and Fringe (Less Sparse),W37000105,Pembroke Dock BUA,WXX000002,128,4,8,3,15,"1,878",7.99,4,13,7,24,"1,871",12.83,41.9,9,5,3,17,"1,917",8.87,5,11,2,18,"1,938",9.29,4,23.56,5,17,4,13,5,12.7,25.6,527.8,24.8,693.5,5.3,,5,110,89,114,6.7,21.6,17.8,6,1,27,23,31,23,29,32,68,50,5,3,6,4,4,5,12,14,5,5,3.46,27.9,24.4,5.5,3,9.3,10.3,6.5,18.9,44.5,-0.235,3,1.8,2.68,4.7,0.99,0.28,0.36,Other,Other,Quintile 3,103.2931937,103,6.706806283,Outperforming,9
1602,W01001645,Liswerry 4,Newport 015D,W02000361,Newport 015,W06000022,Newport,C1,Urban,Large Town (Less Sparse),W38000147,Newport BUASD,WXX000003,98,4,5,4,13,"1,281",10.15,1,9,4,14,"1,296",10.8,36.5,6,13,3,22,"1,336",16.47,5,11,0,16,"1,320",12.12,4,26.78,4,19,6,9,5,15.3,20.4,437.9,26.1,704.3,4.9,,3,109,90,103,8.7,22.4,28.3,7,0,22,20,22,24,22,41,37,33,4,2,4,4,4,15,10,9,9,2,9.46,16.9,14.8,2.9,1,17.5,12.9,8.8,55.5,65.5,0.09,3,1.92,2.46,1.72,1.11,0.65,0.34,Consistently decreasing,Decreasing (2018-20),Quintile 4,103.2931937,103,5.706806283,Outperforming,9
186,W01000194,Denbigh Central,Denbighshire 011A,W02000052,Denbighshire 011,W06000004,Denbighshire,D1,Rural,Small Town and Fringe (Less Sparse),W37000138,Denbigh BUA,WXX000001,130,9,10,2,21,"2,112",9.94,9,10,4,23,"2,102",10.94,42.6,9,14,5,28,"2,043",13.71,7,9,2,18,"2,042",8.81,4,31.8,4,19,2,16,3,15.1,23.8,543.2,31.9,689.5,7.9,,6,108,88,119,5.4,26.1,16.1,10,0.6,18,19,20,21,23,20,30,26,2,2,2,3,4,3,5,5,3,2,6.03,31.2,28.4,6,10,5.6,9.9,5.9,11.1,79.2,0.305,2,1.77,5.44,6.01,2.34,0.24,0.29,Consistently decreasing,Decreasing (2018-20),Quintile 4,103.2931937,103,4.706806283,Outperforming,9
516,W01000542,Lledrod,Ceredigion 011F,W02000421,Ceredigion 011,W06000008,Ceredigion,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,109,0,14,7,21,"2,171",9.67,0,9,4,13,"2,166",6,50.6,2,10,3,15,"2,149",6.98,4,5,3,12,"2,147",5.59,4,21.12,7,11,7,7,7,14,20.2,339.1,19.5,615,3.4,,7,108,90,126,5.2,33.2,15.4,1,42.4,136,107,136,121,103,163,160,141,26,10,24,11,8,53,25,27,25,1,5.24,49.2,46.2,5.6,3,3.1,7.7,5.2,40.4,39.2,0.035,9,0.3,1.02,0.89,0.57,,0.35,Other,Other,Quintile 4,103.2931937,103,4.706806283,Outperforming,9
620,W01000646,Cenarth,Carmarthenshire 003A,W02000144,Carmarthenshire 003,W06000010,Carmarthenshire,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,102,4,5,4,13,"2,273",5.72,2,18,1,21,"2,197",9.56,52.8,7,9,4,20,"2,223",9,1,11,5,17,"2,224",7.64,4,18.7,5,16,5,10,7,12.5,22.8,314,20.8,585.6,4.2,,7,108,88,122,4,28.9,16.7,1,16,88,81,98,88,75,94,95,89,10,8,13,10,7,11,9,9,12,1,4.31,42.4,39.9,4.6,9,3.6,9.4,5.9,19.7,42.7,0.439,6,0.71,2.41,1.98,0.6,,0.45,Other,Other,Quintile 1 (lowest),103.2931937,103,4.706806283,Outperforming,9
27,W01000028,Llannerch-y-medd,Isle of Anglesey 001D,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000001,147,8,10,3,21,"2,082",10.09,6,10,3,19,"2,052",9.26,44.1,5,15,5,25,"2,046",12.22,1,15,1,17,"2,004",8.48,4,31.02,5,15,5,9,6,13.6,20.6,355.5,21,607.7,7.7,,5,107,85,116,4.9,27.6,18,1,10.3,112,83,86,82,74,117,139,107,25,7,9,6,6,27,26,22,23,2,5.58,33.9,31.8,4.8,7,3.6,7.1,4.5,24.9,37.2,0.263,9,0.46,1.21,0.92,,,,Other,Other,Quintile 4,103.2931937,103,3.706806283,Outperforming,9
81,W01000086,Llanllyfni & Clynnog,Gwynedd 008B,W02000017,Gwynedd 008,W06000002,Gwynedd,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000001,132,6,11,3,20,"2,310",8.66,6,11,5,22,"2,299",9.57,46.1,4,14,2,20,"2,285",8.75,6,11,7,24,"2,262",10.61,4,17.92,5,15,7,8,7,11.8,20.9,372.5,16,655.2,7.8,,7,107,90,120,3.1,31.9,17,1,20.7,108,86,93,89,55,102,116,84,11,9,12,12,7,13,14,14,14,1,5.34,50.3,46.4,5.8,7,3.4,6.7,4.4,35.2,61.6,0.374,5,0.97,2.84,2.2,0.44,,0.4,Other,Other,Quintile 3,103.2931937,103,3.706806283,Outperforming,9
132,W01000138,Eirias 1,Conwy 008A,W02000034,Conwy 008,W06000003,Conwy,C1,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,129,4,16,4,24,"1,794",13.38,4,12,2,18,"1,770",10.17,48.4,7,13,2,22,"1,755",12.54,5,11,3,19,"1,692",11.23,4,30.26,3,22,2,16,4,15.4,20.7,429.1,34.5,634.6,3.7,,6,107,88,120,4.9,36.7,15.9,3,0.1,27,24,41,36,53,46,70,71,5,4,7,5,3,12,7,6,4,7,4.55,13.4,12.1,2.1,10,6.7,7.9,5.4,9.9,93.7,0.344,4,1.27,3.4,2.68,0.66,0.3,,Other,Other,Quintile 5 (highest),103.2931937,103,3.706806283,Outperforming,9
