563,W01000589,Milford: Hakin 1,Pembrokeshire 012A,W02000137,Pembrokeshire 012,W06000009,Pembrokeshire,C1,Urban,Large Town (Less Sparse),W37000225,Milford Haven BUA,WXX000002,107,3,5,0,8,"1,178",6.79,7,7,1,15,"1,142",13.13,36.9,0,13,1,14,"1,163",12.04,2,6,0,8,"1,178",6.79,4,19.26,3,20,4,13,4,14.9,23.6,466.2,24.9,702.8,3.9,,3,107,83,111,5.3,14.5,22.6,6,0,20,19,35,28,28,24,41,48,2,2,6,4,5,4,6,10,4,7,3.99,16.9,15.5,4,5,9.6,9.8,6.3,2.1,43.4,-0.258,5,1.06,2.02,4.14,0.68,,,Other,Other,Quintile 2,103.2931937,103,3.706806283,Outperforming,9
656,W01000685,Llanfihangel-ar-Arth 1,Carmarthenshire 001A,W02000142,Carmarthenshire 001,W06000010,Carmarthenshire,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,117,2,10,5,17,"1,591",10.69,10,5,7,22,"1,572",13.99,47.2,3,10,6,19,"1,568",12.12,5,11,3,19,"1,582",12.01,4,21,5,15,4,11,6,12.9,22.3,417.6,20.7,542.6,5.4,,7,107,84,133,2.7,26.8,20.1,1,22,82,55,100,66,56,94,128,112,19,4,22,7,6,19,22,22,7,1,7.47,43.6,41,4.4,8,3.3,8.9,5.8,22.9,25.9,0.427,7,0.7,1.84,2.76,,,0.38,Other,Other,Quintile 4,103.2931937,103,3.706806283,Outperforming,9
969,W01001004,Felindre 1,Bridgend 009A,W02000226,Bridgend 009,W06000013,Bridgend,D1,Rural,Small Town and Fringe (Less Sparse),W37000094,Pencoed BUA,WXX000003,67,0,4,0,4,"1,127",3.55,3,9,2,14,"1,125",12.44,42.1,4,7,0,11,"1,100",10,3,8,1,12,"1,103",10.88,3,14.64,3,20,3,13,2,17.9,30,463.3,29.2,669,6.5,,6,109,89,117,5.2,40.4,34.2,9,0,21,20,22,22,24,22,23,27,3,2,3,3,4,3,4,4,3,5,5.16,17.4,16,3.2,1,11.9,11.2,7.3,92.3,86.8,0.144,4,1.02,3.12,2.28,1.38,0.77,,Other,Other,Quintile 1 (lowest),102.7225131,103,6.277486911,Outperforming,9
1010,W01001045,Porthcawl East Central 2,Bridgend 019D,W02000236,Bridgend 019,W06000013,Bridgend,C1,Urban,Large Town (Less Sparse),W37000295,Porthcawl BUA,WXX000003,93,4,9,6,19,"1,806",10.52,4,8,3,15,"1,736",8.64,47.5,6,2,2,10,"1,704",5.87,1,9,5,15,"1,728",8.68,3,26.56,4,20,2,17,4,17,24.5,357.2,28.8,641,5.3,,6,109,86,125,4.9,37.8,21.5,9,0,20,20,27,25,20,26,22,34,3,2,6,5,2,5,3,8,6,3,6.69,21.1,18.9,4.4,1,7.4,10.4,6.8,89.2,99.2,0.099,2,1.62,6.04,4.31,1.89,0.84,0.26,Consistently increasing,Increasing (2018-20),Quintile 4,102.7225131,103,6.277486911,Outperforming,9
1371,W01001410,Risca East 4,Caerphilly 016D,W02000305,Caerphilly 016,W06000018,Caerphilly,C1,Urban,Large Town (Less Sparse),W38000080,Risca BUASD,WXX000003,122,3,22,1,26,"1,839",14.14,5,14,1,20,"1,822",10.98,39.9,6,11,3,20,"1,840",10.87,6,11,2,19,"1,877",10.12,3,30.74,4,19,3,15,3,15.2,27.2,496.9,36.2,559.7,7.7,,4,108,86,115,9.5,28.5,23.1,5,1.6,29,24,26,20,24,31,31,34,6,4,5,3,4,7,6,7,6,8,6.09,10.5,9.3,1.6,3,12,11.9,8.2,23.7,84,0.14,3,1.68,2.94,1.93,1.14,0.42,0.69,Consistently increasing,Increasing (2017-20),Quintile 5 (highest),102.7225131,103,5.277486911,Outperforming,9
1562,W01001605,Allt-yr-yn 6,Newport 014A,W02000360,Newport 014,W06000022,Newport,C1,Urban,Large Town (Less Sparse),W38000147,Newport BUASD,WXX000003,98,1,8,1,10,"1,337",7.48,2,10,5,17,"1,345",12.64,41.1,3,8,2,13,"1,336",9.73,2,7,1,10,"1,331",7.51,3,21.12,3,20,3,15,3,15.8,25.8,631.9,25,704.7,9.3,,7,108,92,121,4.2,25.8,18.2,7,0,19,19,22,21,20,35,30,32,2,2,3,4,3,10,7,13,5,1,11.86,33.7,29,7.2,2,16.8,12.4,8.6,2.1,23.9,0.118,3,1.4,2.75,2.02,1.87,1.29,,Other,Other,Quintile 2,102.7225131,103,5.277486911,Outperforming,9
107,W01000112,Talysarn,Gwynedd 008D,W02000017,Gwynedd 008,W06000002,Gwynedd,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000001,152,5,18,1,24,"2,036",11.79,4,8,4,16,"2,034",7.87,42.4,2,12,6,20,"2,016",9.92,4,12,4,20,"1,978",10.11,3,41.58,4,19,5,11,6,13.8,23.7,385.8,18,545.1,6.1,,5,107,86,118,6,25.3,20.9,1,4.7,105,84,109,70,43,98,128,84,10,10,10,8,4,11,8,7,18,1,6.11,37.8,35.2,5.1,7,3.6,7,4.6,33.2,86.4,0.331,5,1.24,2.27,1.62,,,0.35,Other,Other,Quintile 4,102.7225131,103,4.277486911,Outperforming,9
600,W01000626,Ammanford 2,Carmarthenshire 013B,W02000154,Carmarthenshire 013,W06000010,Carmarthenshire,C1,Urban,Large Town (Less Sparse),W38000018,Ammanford BUASD,WXX000002,99,7,7,1,15,"1,567",9.57,2,7,0,9,"1,531",5.88,45.3,5,7,3,15,"1,449",10.35,3,4,1,8,"1,427",5.61,3,29.67,2,24,2,17,3,16.6,26.7,553.5,22.8,721.4,6,,5,107,86,119,8,34.4,19.3,9,0,20,19,22,22,22,21,24,27,3,2,4,5,3,4,4,6,6,7,3.09,21.2,19.1,4.3,3,6.2,10,6.7,44.4,99.3,-0.056,1,3.64,7.54,9.71,0.9,0.43,0.42,Other,Other,Quintile 3,102.7225131,103,4.277486911,Outperforming,9
1011,W01001046,Porthcawl West Central 1,Bridgend 018C,W02000235,Bridgend 018,W06000013,Bridgend,C1,Urban,Large Town (Less Sparse),W37000295,Porthcawl BUA,WXX000003,63,3,1,3,7,"1,858",3.77,4,6,0,10,"1,846",5.42,52.4,4,5,4,13,"1,824",7.13,1,7,1,9,"1,844",4.88,3,26.4,3,21,2,18,3,16.2,24.4,478.4,31.1,599.6,4.3,,7,107,90,127,5.1,41.3,18.6,7,5,20,18,33,20,26,20,29,25,2,1,11,4,3,2,5,3,12,2,7.06,25.8,23.6,5.3,9,6.6,9.5,6.4,2.1,83.6,0.051,3,1.41,3.98,2.86,0.98,0.35,0.3,Consistently decreasing,Decreasing (2018-20),Quintile 1 (lowest),102.7225131,103,4.277486911,Outperforming,9
1036,W01001071,Cadoc 5,The Vale of Glamorgan 009D,W02000245,The Vale of Glamorgan 009,W06000014,Vale of Glamorgan,C1,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,94,3,6,2,11,"1,530",7.19,5,9,3,17,"1,550",10.97,41.5,4,5,3,12,"1,571",7.64,7,8,3,18,"1,553",11.59,3,31.08,4,19,4,12,4,15.3,26.8,418.2,26.3,680,5.6,,4,107,84,116,6.8,24,19.9,7,0.9,22,19,25,30,26,29,35,38,4,2,6,7,4,9,9,8,2,4,4.19,25.2,22.4,4,1,13.3,11.7,7.8,85.5,82.7,-0.128,2,1.94,3.12,3.42,1.11,0.87,0.77,Other,Other,Quintile 2,102.7225131,103,4.277486911,Outperforming,9
1168,W01001205,Mountain Ash East 2,Rhondda Cynon Taf 006B,W02000257,Rhondda Cynon Taf 006,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W37000129,Mountain Ash BUA,WXX000003,69,1,11,3,15,"1,583",9.48,2,10,0,12,"1,542",7.78,49.6,3,6,3,12,"1,551",7.74,2,5,3,10,"1,529",6.54,3,26.46,4,19,2,18,3,16.8,28.1,558.5,22.7,624.4,5,,6,107,90,119,4.5,40.9,26.2,3,2.2,27,26,25,32,47,28,29,56,7,5,5,9,5,7,4,6,5,4,4.61,24.2,21.5,4.3,4,7.5,10.4,7.1,43,100,0.126,4,1.25,3.77,3.34,0.75,,0.65,Consistently increasing,Increasing (2017-20),Quintile 3,102.7225131,103,4.277486911,Outperforming,9
1169,W01001206,Mountain Ash West 1,Rhondda Cynon Taf 006C,W02000257,Rhondda Cynon Taf 006,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W37000129,Mountain Ash BUA,WXX000003,89,7,11,2,20,"1,427",14.02,2,7,1,10,"1,393",7.18,44.9,1,7,2,10,"1,402",7.13,5,7,0,12,"1,403",8.55,3,19.44,3,21,3,15,1,19.3,31.1,665.1,25.9,603.9,8.7,,5,107,86,114,3.5,27.3,28.9,7,0,21,21,22,20,18,22,32,48,5,4,3,5,2,4,8,8,7,4,4.4,26.9,24.6,4.9,9,6.8,10.4,7.2,8.5,100,0.085,4,1.34,2.74,3.41,0.63,,0.36,Consistently increasing,Increasing (2018-20),Quintile 5 (highest),102.7225131,103,4.277486911,Outperforming,9
823,W01000856,Sketty 4,Swansea 022D,W02000189,Swansea 022,W06000011,Swansea,C1,Urban,Large Town (Less Sparse),W38000128,Swansea BUASD,WXX000002,74,5,8,3,16,"1,720",9.3,3,7,5,15,"1,748",8.58,45.9,0,9,2,11,"1,766",6.23,1,12,3,16,"1,798",8.9,2,28.16,2,29,1,22,3,15,28.5,458.4,26.1,636.3,7.4,,7,108,89,133,5,30.4,18.6,5,0,22,19,30,19,22,30,25,28,3,2,8,2,2,9,4,5,6,9,5.62,8.1,7,1.1,10,7.1,9.8,6.7,2.1,100,0.116,7,0.57,2.86,1.76,0.61,0.29,0.53,Consistently increasing,Increasing (2018-20),Quintile 3,102.0890052,102,5.910994764,Outperforming,9
1467,W01001506,Llantarnam 3,Torfaen 010A,W02000332,Torfaen 010,W06000020,Torfaen,C1,Urban,Large Town (Less Sparse),W38000140,Cwmbran BUASD,WXX000003,101,6,16,4,26,"1,601",16.24,5,13,2,20,"1,598",12.52,45.5,3,10,5,18,"1,589",11.33,11,13,0,24,"1,597",15.03,2,30.4,2,25,1,21,2,16.8,29,657.7,31.8,552.3,7.1,,3,108,86,100,5.7,31.6,28.7,5,22.2,20,20,20,23,20,26,29,40,2,2,3,3,2,4,4,9,4,3,10.18,13.6,11.6,2.7,4,13.1,11.8,8.1,7.3,86.8,0.043,1,4.97,11.25,14.53,1.6,2.01,1.41,Consistently increasing,Increasing (2018-20),Quintile 5 (highest),102.0890052,102,5.910994764,Outperforming,9
942,W01000976,Blackmill 1,Bridgend 003A,W02000220,Bridgend 003,W06000013,Bridgend,D1,Rural,Small Town and Fringe (Less Sparse),Small,Dispersed (not in a BUA),WXX000003,67,2,6,0,8,"1,103",7.25,7,5,1,13,"1,128",11.52,37.9,1,9,1,11,"1,140",9.65,6,1,4,11,"1,131",9.73,2,22.57,2,25,2,18,3,15.5,31.8,435.6,18.4,538.9,6.1,,2,107,88,111,9.3,17,37.7,4,3,28,18,29,32,23,95,36,54,4,2,4,5,3,29,6,14,16,3,5.34,29.4,27.1,4.9,10,6.2,9.9,6.6,2.1,89.2,0.157,5,1.03,2.46,1.19,1.18,,,Other,Other,Quintile 2,102.0890052,102,4.910994764,Outperforming,9
1146,W01001183,Graig (Rhondda Cynon Taf) 2,Rhondda Cynon Taf 021B,W02000272,Rhondda Cynon Taf 021,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W38000081,Pontypridd BUASD,WXX000003,51,3,2,0,5,997,5.02,3,4,2,9,988,9.11,36.1,3,3,5,11,977,11.26,3,5,2,10,"1,009",9.91,2,9.88,3,23,2,18,2,18.4,28.9,601.3,28.3,605.1,6.2,,2,107,82,108,11.3,15,19.2,3,0,25,19,30,24,28,29,28,41,6,2,8,5,5,6,5,15,6,3,4.75,30.1,27.4,6.1,6,12.4,11.4,7.7,10,100,0.127,2,1.7,5.5,3.83,,1.24,0.84,Consistently decreasing,Decreasing (2018-20),Quintile 1 (lowest),102.0890052,102,4.910994764,Outperforming,9
1412,W01001451,Cwm 2,Blaenau Gwent 007B,W02000320,Blaenau Gwent 007,W06000019,Blaenau Gwent,D1,Rural,Small Town and Fringe (Less Sparse),W37000127,Cwm BUA,WXX000003,65,3,7,2,12,"1,413",8.49,5,8,0,13,"1,399",9.29,42.7,6,11,3,20,"1,422",14.06,5,4,3,12,"1,399",8.58,2,35.5,2,25,2,17,2,18.4,28.2,504.6,17.7,707.6,6.9,,2,107,88,99,6.2,11.3,32.3,8,0.8,20,18,21,20,29,22,45,39,2,2,2,2,4,3,15,15,14,3,4.56,31.2,28.6,5.9,3,6.7,10.3,7,57.6,99.7,0.13,2,2.13,3.92,2.15,1.34,0.78,0.79,Consistently decreasing,Decreasing (2018-20),Quintile 3,102.0890052,102,4.910994764,Outperforming,9
1444,W01001483,Abersychan 2,Torfaen 002B,W02000324,Torfaen 002,W06000020,Torfaen,C1,Urban,Large Town (Less Sparse),W38000003,Abersychan BUASD,WXX000003,144,7,11,4,22,"1,535",14.33,1,10,2,13,"1,512",8.6,34.1,7,10,2,19,"1,532",12.4,9,7,5,21,"1,492",14.08,2,70.5,1,31,2,19,1,18.6,32.2,638.6,34.2,741.8,8.8,,3,107,90,104,6,11.2,32.1,6,12.7,19,19,23,19,23,39,45,33,3,3,5,3,3,14,14,10,15,8,5.59,9.3,8.7,1.7,1,6.6,10.7,7.4,79.9,97,0.103,3,1.68,3.18,1.5,1.25,0.42,,Other,Other,Quintile 5 (highest),102.0890052,102,4.910994764,Outperforming,9
1816,W01001866,Rumney 4,Cardiff 016A,W02000382,Cardiff 016,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,139,4,7,5,16,"1,641",9.75,4,7,5,16,"1,664",9.62,38.3,5,7,2,14,"1,601",8.74,7,11,6,24,"1,647",14.57,2,37.62,2,27,2,17,2,15.9,27.7,556.6,30.7,762.9,5.4,,2,107,86,103,6.4,11.7,29,5,0,22,21,29,26,26,29,28,22,4,3,6,7,4,5,8,5,8,7,6.7,11.2,10.3,1.8,2,16.6,12.8,8.9,2.1,71.4,-0.004,1,2.41,5.38,4.4,1.79,0.93,0.64,Consistently increasing,Increasing (2018-20),Quintile 4,102.0890052,102,4.910994764,Outperforming,9
40,W01000041,Tudur,Isle of Anglesey 006D,W02000006,Isle of Anglesey 006,W06000001,Isle of Anglesey,D1,Rural,Small Town and Fringe (Less Sparse),W37000298,Llangefni BUA,WXX000001,168,6,8,2,16,"1,650",9.7,7,15,3,25,"1,649",15.16,33.6,12,10,3,25,"1,647",15.18,11,16,2,29,"1,667",17.4,2,77,1,30,2,16,3,16.2,26.1,487.9,29.1,644.6,8.8,,2,106,85,106,8.9,24.1,32.7,2,1.3,35,30,33,33,30,35,48,41,6,4,6,7,4,5,8,9,5,7,8.2,8.4,7.7,1.3,10,5.4,7.2,4.8,5.2,56.2,0.194,2,1.83,4.58,3.83,0.9,,,Consistently decreasing,Decreasing (2017-20),Quintile 4,102.0890052,102,3.910994764,Outperforming,9
369,W01000379,Gwersyllt West 1,Wrexham 004C,W02000081,Wrexham 004,W06000006,Wrexham,C1,Urban,Large Town (Less Sparse),W38000001,Wrexham BUASD,WXX000001,146,5,13,3,21,"1,701",12.35,8,14,2,24,"1,686",14.23,39.9,10,16,3,29,"1,689",17.17,6,11,6,23,"1,690",13.61,2,34.88,2,24,2,17,2,18.1,27.8,564.5,32.1,706.8,7.5,,2,106,89,99,11.7,22.7,29.7,4,0.1,30,20,30,41,24,21,32,27,6,2,6,8,4,3,6,4,6,5,9.75,10.5,9.9,1.3,9,7.7,9.7,6.8,9,68.8,0.192,2,1.42,4.95,4.45,1.71,0.3,0.36,Consistently decreasing,Decreasing (2018-20),Quintile 5 (highest),102.0890052,102,3.910994764,Outperforming,9
489,W01000510,Aberteifi/Cardigan - Rhyd-y-Fuwch,Ceredigion 009D,W02000124,Ceredigion 009,W06000008,Ceredigion,D2,Rural,Small Town and Fringe (Sparse),W38000121,Cardigan BUASD,WXX000002,69,1,4,2,7,"1,182",5.92,1,5,2,8,"1,178",6.79,47.6,3,9,2,14,"1,167",12,1,10,0,11,"1,171",9.39,2,17.7,2,25,1,21,4,15.6,26,490.5,22.4,611.6,4.2,,6,106,85,120,2.8,34.1,23,7,1,23,21,24,27,24,26,26,25,2,2,2,3,2,4,3,4,3,3,6.4,25.6,23.2,4.6,9,4.4,9.7,6.1,13.7,98.2,0.291,2,1.63,5.56,5.8,,0.57,,Consistently decreasing,Decreasing (2018-20),Quintile 1 (lowest),102.0890052,102,3.910994764,Outperforming,9
1269,W01001307,Park 3,Merthyr Tydfil 004C,W02000286,Merthyr Tydfil 004,W06000024,Merthyr Tydfil,C1,Urban,Large Town (Less Sparse),W37000363,Merthyr Tydfil BUA,WXX000003,98,5,7,3,15,"1,487",10.09,5,5,1,11,"1,560",7.05,45.7,3,8,4,15,"1,573",9.54,7,11,5,23,"1,577",14.58,1,41.5,1,31,1,20,1,18.7,30.7,624.3,31.1,682.7,6.9,,4,108,83,111,4.7,27.5,34,3,0.3,23,20,25,26,28,28,32,37,3,2,5,7,4,8,7,7,7,1,10.98,23.8,21.4,4.4,2,9.6,10.9,7.6,41.2,41.8,0.047,2,1.48,4.55,3.37,0.96,1.25,0.51,Other,Other,Quintile 4,100.5078534,101,7.492146597,Outperforming,9
1164,W01001201,Llwyn-y-pia 2,Rhondda Cynon Taf 014B,W02000265,Rhondda Cynon Taf 014,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W38000065,Rhondda BUASD,WXX000003,81,2,7,1,10,"1,236",8.09,4,7,2,13,"1,247",10.43,40.9,5,6,2,13,"1,240",10.48,5,5,1,11,"1,213",9.07,1,41.44,1,31,1,21,1,19.2,34.3,537.6,25.7,674.2,9.3,,3,106,85,114,8.2,21.5,32,5,0.2,23,19,24,17,25,41,29,44,6,2,4,2,6,8,7,13,2,2,9.3,23.2,21.4,4.8,6,8.5,10.8,7.3,22.2,100,0.126,2,1.32,4.28,6.68,1.85,0.66,0.87,Consistently decreasing,Decreasing (2018-20),Quintile 3,100.5078534,101,5.492146597,Outperforming,9
1480,W01001519,Pontnewydd 1,Torfaen 007A,W02000329,Torfaen 007,W06000020,Torfaen,C1,Urban,Large Town (Less Sparse),W38000140,Cwmbran BUASD,WXX000003,93,4,4,2,10,"1,385",7.22,6,8,1,15,"1,358",11.05,37,6,12,2,20,"1,333",15,5,10,2,17,"1,312",12.96,1,43.71,1,31,1,24,1,18.2,32.4,517.5,30.7,660.2,5.8,,2,106,89,96,7,26,34.9,3,0.2,21,20,28,22,21,24,38,34,4,3,5,4,5,6,8,7,4,5,9.7,10.5,9.3,1.3,1,13.5,12,8.2,83.2,85.1,0.039,1,2.5,5.39,7.37,1.59,0.74,0.65,Consistently decreasing,Decreasing (2018-20),Quintile 2,100.5078534,101,5.492146597,Outperforming,9
220,W01000228,Rhyl East 3,Denbighshire 004C,W02000045,Denbighshire 004,W06000004,Denbighshire,C1,Urban,Large Town (Less Sparse),W38000112,Rhyl BUASD,WXX000001,75,4,5,3,12,"1,523",7.88,2,4,2,8,"1,540",5.19,51.6,5,8,3,16,"1,492",10.72,2,5,4,11,"1,459",7.54,1,20.79,2,29,1,25,1,18.4,26.9,1088.8,43.9,941.6,10.1,,3,105,83,101,8.8,40.4,20.8,6,0,26,20,31,20,30,24,32,35,2,2,5,2,6,3,5,7,6,4,6,20.5,18.4,4.1,10,8.1,9.1,6.3,2.1,48.1,0.2,2,2.19,7.03,,2.13,0.69,,Other,Other,Quintile 2,100.5078534,101,4.492146597,Outperforming,9
399,W01000409,Plas Madoc,Wrexham 017E,W02000094,Wrexham 017,W06000006,Wrexham,C1,Urban,Large Town (Less Sparse),W38000079,Cefn-mawr BUASD,WXX000001,236,11,23,2,36,"2,069",17.4,14,18,2,34,"2,069",16.43,29.3,12,25,3,40,"2,085",19.18,15,12,1,28,"2,067",13.55,1,124.8,1,39,1,20,1,16.7,32.2,578.4,33.5,646.8,9.1,,1,105,85,82,8.8,6.7,38.2,4,0,20,20,20,21,21,28,21,40,3,3,3,3,3,7,3,9,13,7,9.96,7.5,6.7,0.9,8,6.9,9.7,6.5,24.1,100,0.256,2,1.82,5.87,3.13,1.65,0.43,0.41,Other,Other,Quintile 5 (highest),100.5078534,101,4.492146597,Outperforming,9
987,W01001022,Morfa 2,Bridgend 014B,W02000231,Bridgend 014,W06000013,Bridgend,C1,Urban,Large Town (Less Sparse),W38000129,Bridgend BUASD,WXX000003,105,7,5,2,14,"1,446",9.68,0,8,3,11,"1,436",7.66,38.9,6,10,1,17,"1,445",11.76,7,14,1,22,"1,438",15.3,1,71.98,1,33,1,22,2,18.4,28.9,487.4,29.5,573.5,6.6,,1,105,77,105,12.4,13.8,31,2,0,30,20,39,30,30,38,41,44,6,2,11,7,7,11,10,14,6,5,9.33,10.2,8.6,1.2,3,11.2,10.9,7.4,46.2,100,0.132,4,1.22,2.5,3.49,,,0.38,Other,Other,Quintile 4,100.5078534,101,4.492146597,Outperforming,9
